ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;zeile_inhalt_ohne_treffer;Verein_DRVID;Verein;gefunden_am
324;2 - Boot 1 - 01:45.64 2;2 SG Wiking - Boot 1 - 01:45.64 2;1131;2 - Boot 1 - 01:45.64 2;11643;SG Wiking;2025-11-29 07:41:50
325;3 - Boot 1 - 01:49.51 3;3 Hanauer RG - Boot 1 - 01:49.51 3;1133;3 - Boot 1 - 01:49.51 3;11627;Hanauer RG;2025-11-29 07:41:50
326;1 - Boot 1 - 01:44.85 5;1 RG Eberbach - Boot 1 - 01:44.85 5;1137;1 - Boot 1 - 01:44.85 5;11004;RG Eberbach;2025-11-29 07:41:50
327;2 01:50.53 17;2 Mühlheimer RV 01:50.53 17;1139;2 01:50.53 17;11637;Mühlheimer RV;2025-11-29 07:41:50
328;3 - Boot 2 - 01:53.84 6;3 SG Wiking - Boot 2 - 01:53.84 6;1141;3 - Boot 2 - 01:53.84 6;11643;SG Wiking;2025-11-29 07:41:50
329;1 - Boot 1 - 01:44.80 9;1 Frankfurter RG Oberrad - Boot 1 - 01:44.80 9;1145;1 - Boot 1 - 01:44.80 9;11614;Frankfurter RG Oberrad;2025-11-29 07:41:50
330;2 - Boot 2 - 01:48.86 8;2 Hanauer RG - Boot 2 - 01:48.86 8;1147;2 - Boot 2 - 01:48.86 8;11627;Hanauer RG;2025-11-29 07:41:50
331;3 01:52.32 7;3 RG Wetzlar 01:52.32 7;1149;3 01:52.32 7;11647;RG Wetzlar;2025-11-29 07:41:50
332;1 01:47.91 12;1 RC Karlstadt 01:47.91 12;1153;1 01:47.91 12;11107;RC Karlstadt;2025-11-29 07:41:50
333;2 01:49.26 11;2 Wormser RC 01:49.26 11;1155;2 01:49.26 11;12038;Wormser RC;2025-11-29 07:41:50
334;3 - Boot 2 - 01:54.94 10;3 RG Eberbach - Boot 2 - 01:54.94 10;1157;3 - Boot 2 - 01:54.94 10;11004;RG Eberbach;2025-11-29 07:41:50
335;1 - Boot 2 - 01:55.75 14;1 Frankfurter RG Oberrad - Boot 2 - 01:55.75 14;1161;1 - Boot 2 - 01:55.75 14;11614;Frankfurter RG Oberrad;2025-11-29 07:41:50
336;2 - Boot 4 - 01:57.57 16;2 Hanauer RG - Boot 4 - 01:57.57 16;1163;2 - Boot 4 - 01:57.57 16;11627;Hanauer RG;2025-11-29 07:41:50
337;1 01:39.56 4;1 Wormser RC 01:39.56 4;1173;1 01:39.56 4;12038;Wormser RC;2025-11-29 07:41:50
338;2 01:42.98 3;2 RG Wetzlar 01:42.98 3;1175;2 01:42.98 3;11647;RG Wetzlar;2025-11-29 07:41:50
339;3 01:44.18 1;3 Marburger RV 01:44.18 1;1177;3 01:44.18 1;11636;Marburger RV;2025-11-29 07:41:50
340;1 01:48.26 5;1 Hanauer RG 01:48.26 5;1181;1 01:48.26 5;11627;Hanauer RG;2025-11-29 07:41:50
341;2 01:51.63 6;2 WSV Hellas Gießen 01:51.63 6;1183;2 01:51.63 6;11623;WSV Hellas Gießen;2025-11-29 07:41:50
342;1 - Boot 1 - 01:40.27 3;1 Frankfurter RG Germania - Boot 1 - 01:40.27 3;1194;1 - Boot 1 - 01:40.27 3;11610;Frankfurter RG Germania;2025-11-29 07:41:50
343;2 - Boot 1 - 01:42.05 2;2 SG Wiking - Boot 1 - 01:42.05 2;1196;2 - Boot 1 - 01:42.05 2;11643;SG Wiking;2025-11-29 07:41:50
344;3 01:45.27 1;3 RC Möve Grossauheim 01:45.27 1;1198;3 01:45.27 1;11625;RC Möve Grossauheim;2025-11-29 07:41:50
345;1 - Boot 1 - 01:45.98 4;1 Frankfurter RG Oberrad - Boot 1 - 01:45.98 4;1202;1 - Boot 1 - 01:45.98 4;11614;Frankfurter RG Oberrad;2025-11-29 07:41:50
346;2 - Boot 2 - 01:53.87 5;2 SG Wiking - Boot 2 - 01:53.87 5;1204;2 - Boot 2 - 01:53.87 5;11643;SG Wiking;2025-11-29 07:41:50
347;1 - Boot 2 - 01:44.26 6;1 Frankfurter RG Germania - Boot 2 - 01:44.26 6;1208;1 - Boot 2 - 01:44.26 6;11610;Frankfurter RG Germania;2025-11-29 07:41:50
348;2 - Boot 4 - 01:47.41 10;2 Frankfurter RG Germania - Boot 4 - 01:47.41 10;1210;2 - Boot 4 - 01:47.41 10;11610;Frankfurter RG Germania;2025-11-29 07:41:50
349;3 - Boot 2 - 01:51.24 9;3 Frankfurter RG Oberrad - Boot 2 - 01:51.24 9;1212;3 - Boot 2 - 01:51.24 9;11614;Frankfurter RG Oberrad;2025-11-29 07:41:50
350;1 01:51.09 13;1 Hanauer RG 01:51.09 13;1216;1 01:51.09 13;11627;Hanauer RG;2025-11-29 07:41:50
351;2 01:57.58 12;2 Frankfurter RC 01:57.58 12;1218;2 01:57.58 12;11616;Frankfurter RC;2025-11-29 07:41:50
352;3 02:04.61 11;3 Mühlheimer RV 02:04.61 11;1220;3 02:04.61 11;11637;Mühlheimer RV;2025-11-29 07:41:50
353;1 am Main-Bürgel - Boot 1 - 01:55.34 2;1 WSV Offenbach am Main-Bürgel - Boot 1 - 01:55.34 2;1229;1 am Main-Bürgel - Boot 1 - 01:55.34 2;11642;WSV Offenbach;2025-11-29 07:41:50
354;2 am Main-Bürgel - Boot 2 - 01:56.84 4;2 WSV Offenbach am Main-Bürgel - Boot 2 - 01:56.84 4;1231;2 am Main-Bürgel - Boot 2 - 01:56.84 4;11642;WSV Offenbach;2025-11-29 07:41:50
355;3 - Boot 1 - 01:57.40 1;3 SG Wiking - Boot 1 - 01:57.40 1;1233;3 - Boot 1 - 01:57.40 1;11643;SG Wiking;2025-11-29 07:41:50
356;1 02:00.86 10;1 RC Aschaffenburg 02:00.86 10;1237;1 02:00.86 10;11101;RC Aschaffenburg;2025-11-29 07:41:50
357;2 02:07.49 5;2 RG Wetzlar 02:07.49 5;1239;2 02:07.49 5;11647;RG Wetzlar;2025-11-29 07:41:50
358;3 - Boot 2 - 02:11.85 6;3 SG Wiking - Boot 2 - 02:11.85 6;1241;3 - Boot 2 - 02:11.85 6;11643;SG Wiking;2025-11-29 07:41:50
359;1 02:01.06 7;1 RG Eberbach 02:01.06 7;1245;1 02:01.06 7;11004;RG Eberbach;2025-11-29 07:41:50
360;2 02:16.00 9;2 Hanauer RG 02:16.00 9;1247;2 02:16.00 9;11627;Hanauer RG;2025-11-29 07:41:50
361;1 Rgm. Frankfurter RG Germania/ 01:44.25 1;1 Rgm. Frankfurter RG Germania/ SRR Schillerschule Frankfurt 01:44.25 1;1260;1 Rgm. Frankfurter RG Germania/ 01:44.25 1;15626;SRR Schillerschule Frankfurt;2025-11-29 07:41:50
362;2 01:51.91 2;2 Frankfurter RC 01:51.91 2;1263;2 01:51.91 2;11616;Frankfurter RC;2025-11-29 07:41:50
363;1 01:33.16 4;1 Offenbacher RG Undine 01:33.16 4;1269;1 01:33.16 4;11641;Offenbacher RG Undine;2025-11-29 07:41:50
364;2 01:38.11 2;2 RG Eberbach 01:38.11 2;1271;2 01:38.11 2;11004;RG Eberbach;2025-11-29 07:41:50
365;3 Rgm. / Mühlheimer RV 01:45.97 3;3 Rgm. RC Möve Grossauheim/ Mühlheimer RV 01:45.97 3;1273;3 Rgm. / Mühlheimer RV 01:45.97 3;11625;RC Möve Grossauheim;2025-11-29 07:41:50
366;1 01:46.31 2;1 Marburger RV 01:46.31 2;1280;1 01:46.31 2;11636;Marburger RV;2025-11-29 07:41:50
367;2 01:50.10 7;2 Hanauer RG 01:50.10 7;1282;2 01:50.10 7;11627;Hanauer RG;2025-11-29 07:41:50
368;1 - Boot 2 - 01:55.64 5;1 Frankfurter RG Borussia - Boot 2 - 01:55.64 5;1286;1 - Boot 2 - 01:55.64 5;11607;Frankfurter RG Borussia;2025-11-29 07:41:50
369;2 02:09.56 4;2 RV Hellas Offenbach 02:09.56 4;1288;2 02:09.56 4;11638;RV Hellas Offenbach;2025-11-29 07:41:50
370;1 01:58.56 3;1 Hanauer RC Hassia 01:58.56 3;1292;1 01:58.56 3;11626;Hanauer RC Hassia;2025-11-29 07:41:50
371;2 02:01.34 6;2 RG Wetzlar 02:01.34 6;1294;2 02:01.34 6;11647;RG Wetzlar;2025-11-29 07:41:50
372;1 02:13.47 4;1 Hanauer RC Hassia 02:13.47 4;1305;1 02:13.47 4;11626;Hanauer RC Hassia;2025-11-29 07:41:50
373;2 02:19.70 1;2 RC Aschaffenburg 02:19.70 1;1307;2 02:19.70 1;11101;RC Aschaffenburg;2025-11-29 07:41:50
374;3 - Boot 1 - 02:23.77 2;3 SG Wiking - Boot 1 - 02:23.77 2;1309;3 - Boot 1 - 02:23.77 2;11643;SG Wiking;2025-11-29 07:41:50
375;1 01:59.22 6;1 RC Aschaffenburg 01:59.22 6;1313;1 01:59.22 6;11101;RC Aschaffenburg;2025-11-29 07:41:50
376;2 - Boot 1 - 02:01.82 7;2 RC Karlstadt - Boot 1 - 02:01.82 7;1315;2 - Boot 1 - 02:01.82 7;11107;RC Karlstadt;2025-11-29 07:41:50
377;3 - Boot 2 - 02:09.73 5;3 SG Wiking - Boot 2 - 02:09.73 5;1317;3 - Boot 2 - 02:09.73 5;11643;SG Wiking;2025-11-29 07:41:50
378;1 - Boot 1 - 02:09.21 9;1 Mühlheimer RV - Boot 1 - 02:09.21 9;1321;1 - Boot 1 - 02:09.21 9;11637;Mühlheimer RV;2025-11-29 07:41:50
379;2 - Boot 2 - 02:14.26 10;2 RC Karlstadt - Boot 2 - 02:14.26 10;1323;2 - Boot 2 - 02:14.26 10;11107;RC Karlstadt;2025-11-29 07:41:50
380;3 - Boot 2 - 02:21.83 11;3 Hanauer RG - Boot 2 - 02:21.83 11;1325;3 - Boot 2 - 02:21.83 11;11627;Hanauer RG;2025-11-29 07:41:50
381;4 - Boot 1 - 02:27.99 8;4 Hanauer RG - Boot 1 - 02:27.99 8;1327;4 - Boot 1 - 02:27.99 8;11627;Hanauer RG;2025-11-29 07:41:50
382;1 - Boot 4 - 02:16.98 12;1 Hanauer RG - Boot 4 - 02:16.98 12;1331;1 - Boot 4 - 02:16.98 12;11627;Hanauer RG;2025-11-29 07:41:50
383;2 - Boot 3 - 02:27.87 13;2 Hanauer RG - Boot 3 - 02:27.87 13;1333;2 - Boot 3 - 02:27.87 13;11627;Hanauer RG;2025-11-29 07:41:50
384;3 - Boot 2 - 02:30.63 14;3 Mühlheimer RV - Boot 2 - 02:30.63 14;1335;3 - Boot 2 - 02:30.63 14;11637;Mühlheimer RV;2025-11-29 07:41:50
385;1 - Boot 3 - 02:14.86 17;1 Mühlheimer RV - Boot 3 - 02:14.86 17;1339;1 - Boot 3 - 02:14.86 17;11637;Mühlheimer RV;2025-11-29 07:41:50
386;2 - Boot 5 - 02:22.52 16;2 Hanauer RG - Boot 5 - 02:22.52 16;1341;2 - Boot 5 - 02:22.52 16;11627;Hanauer RG;2025-11-29 07:41:50
387;3 am Main-Bürgel 02:48.73 18;3 WSV Offenbach am Main-Bürgel 02:48.73 18;1343;3 am Main-Bürgel 02:48.73 18;11642;WSV Offenbach;2025-11-29 07:41:50
388;1 01:48.64 2;1 Mühlheimer RV 01:48.64 2;1351;1 01:48.64 2;11637;Mühlheimer RV;2025-11-29 07:41:50
389;2 01:56.11 1;2 Frauen-RV Freiweg Frankfurt 01:56.11 1;1353;2 01:56.11 1;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 07:41:50
390;1 - Boot 1 - 01:50.27 3;1 Hanauer RG - Boot 1 - 01:50.27 3;1357;1 - Boot 1 - 01:50.27 3;11627;Hanauer RG;2025-11-29 07:41:50
391;2 01:51.05 6;2 Gießener RC Hassia 01:51.05 6;1359;2 01:51.05 6;11622;Gießener RC Hassia;2025-11-29 07:41:50
392;3 - Boot 2 - 01:52.61 4;3 Hanauer RG - Boot 2 - 01:52.61 4;1361;3 - Boot 2 - 01:52.61 4;11627;Hanauer RG;2025-11-29 07:41:50
393;1 02:13.00 1;1 Hanauer RC Hassia 02:13.00 1;1372;1 02:13.00 1;11626;Hanauer RC Hassia;2025-11-29 07:41:50
394;2 am Main-Bürgel 02:36.00 2;2 WSV Offenbach am Main-Bürgel 02:36.00 2;1374;2 am Main-Bürgel 02:36.00 2;11642;WSV Offenbach;2025-11-29 07:41:50
395;3 02:37.28 3;3 RG Wetzlar 02:37.28 3;1376;3 02:37.28 3;11647;RG Wetzlar;2025-11-29 07:41:50
396;1 01:59.18 1;1 Frankfurter RG Germania 01:59.18 1;1385;1 01:59.18 1;11610;Frankfurter RG Germania;2025-11-29 07:41:50
397;2 02:04.72 2;2 Frankfurter RC 02:04.72 2;1387;2 02:04.72 2;11616;Frankfurter RC;2025-11-29 07:41:50
398;3 - Boot 1 - 02:19.24 3;3 RG Wetzlar - Boot 1 - 02:19.24 3;1389;3 - Boot 1 - 02:19.24 3;11647;RG Wetzlar;2025-11-29 07:41:50
399;1 02:16.14 7;1 Frankfurter Ruder- und Kanusport Verein 02:16.14 7;1393;1 02:16.14 7;11620;Frankfurter Ruder- und Kanusport Verein;2025-11-29 07:41:50
400;2 02:18.32 4;2 Hanauer RG 02:18.32 4;1395;2 02:18.32 4;11627;Hanauer RG;2025-11-29 07:41:50
401;1 - Boot 2 - 01:52.65 3;1 Frankfurter RC - Boot 2 - 01:52.65 3;1403;1 - Boot 2 - 01:52.65 3;11616;Frankfurter RC;2025-11-29 07:41:50
402;2 02:00.06 2;2 RG Eberbach 02:00.06 2;1405;2 02:00.06 2;11004;RG Eberbach;2025-11-29 07:41:50
403;1 01:54.82 6;1 Frankfurter RG Oberrad 01:54.82 6;1409;1 01:54.82 6;11614;Frankfurter RG Oberrad;2025-11-29 07:41:50
404;2 - Boot 2 - 01:59.28 5;2 RG Wetzlar - Boot 2 - 01:59.28 5;1411;2 - Boot 2 - 01:59.28 5;11647;RG Wetzlar;2025-11-29 07:41:50
405;3 01:59.80 4;3 SG Wiking 01:59.80 4;1413;3 01:59.80 4;11643;SG Wiking;2025-11-29 07:41:50
406;4 - Boot 1 - 02:01.50 7;4 RG Wetzlar - Boot 1 - 02:01.50 7;1415;4 - Boot 1 - 02:01.50 7;11647;RG Wetzlar;2025-11-29 07:41:50
407;1 Rgm. Hanauer RC Hassia/ 01:34.59 1;1 Rgm. Hanauer RC Hassia/ Frankfurter RG Borussia 01:34.59 1;1426;1 Rgm. Hanauer RC Hassia/ 01:34.59 1;11607;Frankfurter RG Borussia;2025-11-29 07:41:50
408;2 01:43.11 3;2 Frankfurter RG Borussia 01:43.11 3;1428;2 01:43.11 3;11607;Frankfurter RG Borussia;2025-11-29 07:41:50
409;3 01:43.53 2;3 Gießener RC Hassia 01:43.53 2;1430;3 01:43.53 2;11622;Gießener RC Hassia;2025-11-29 07:41:50
410;1 Rgm. DRC Ingolstadt/ 01:40.36 8;1 Rgm. DRC Ingolstadt/ RC Möve Grossauheim 01:40.36 8;1434;1 Rgm. DRC Ingolstadt/ 01:40.36 8;11625;RC Möve Grossauheim;2025-11-29 07:41:50
411;2 01:42.45 5;2 Marburger RV 01:42.45 5;1436;2 01:42.45 5;11636;Marburger RV;2025-11-29 07:41:50
412;3 01:52.07 6;3 RV Hellas Offenbach 01:52.07 6;1438;3 01:52.07 6;11638;RV Hellas Offenbach;2025-11-29 07:41:50
413;1 Rgm. Frankfurter RC/ 01:36.24 4;1 Rgm. Frankfurter RC/ Frankfurter RG Germania 01:36.24 4;1442;1 Rgm. Frankfurter RC/ 01:36.24 4;11610;Frankfurter RG Germania;2025-11-29 07:41:50
414;2 Rgm. / SG Wiking 01:38.92 7;2 Rgm. Frankfurter RC/ SG Wiking 01:38.92 7;1444;2 Rgm. / SG Wiking 01:38.92 7;11616;Frankfurter RC;2025-11-29 07:41:50
415;1 01:58.63 1;1 SG Wiking 01:58.63 1;1449;1 01:58.63 1;11643;SG Wiking;2025-11-29 07:41:50
416;2 02:06.91 2;2 RC Karlstadt 02:06.91 2;1451;2 02:06.91 2;11107;RC Karlstadt;2025-11-29 07:41:50
417;1 01:47.17 3;1 Frankfurter RG Oberrad 01:47.17 3;1456;1 01:47.17 3;11614;Frankfurter RG Oberrad;2025-11-29 07:41:50
418;2 02:02.60 2;2 RC Möve Grossauheim 02:02.60 2;1458;2 02:02.60 2;11625;RC Möve Grossauheim;2025-11-29 07:41:50
419;1 01:33.02 4;1 Wormser RC 01:33.02 4;1465;1 01:33.02 4;12038;Wormser RC;2025-11-29 07:41:50
420;2 01:34.45 3;2 Mühlheimer RV 01:34.45 3;1467;2 01:34.45 3;11637;Mühlheimer RV;2025-11-29 07:41:50
421;3 01:35.96 1;3 Frankfurter RG Germania 01:35.96 1;1469;3 01:35.96 1;11610;Frankfurter RG Germania;2025-11-29 07:41:50
422;1 - Boot 1 - 01:53.16 2;1 Frankfurter RG Oberrad - Boot 1 - 01:53.16 2;1481;1 - Boot 1 - 01:53.16 2;11614;Frankfurter RG Oberrad;2025-11-29 07:41:50
423;2 - Boot 2 - 01:55.21 3;2 Frankfurter RG Oberrad - Boot 2 - 01:55.21 3;1483;2 - Boot 2 - 01:55.21 3;11614;Frankfurter RG Oberrad;2025-11-29 07:41:50
424;3 - Boot 1 - 02:08.98 1;3 SG Wiking - Boot 1 - 02:08.98 1;1485;3 - Boot 1 - 02:08.98 1;11643;SG Wiking;2025-11-29 07:41:50
425;1 01:54.49 5;1 RG Wetzlar 01:54.49 5;1489;1 01:54.49 5;11647;RG Wetzlar;2025-11-29 07:41:50
426;2 02:06.38 6;2 Frankfurter RC 02:06.38 6;1491;2 02:06.38 6;11616;Frankfurter RC;2025-11-29 07:41:50
427;3 - Boot 2 - 02:08.41 4;3 SG Wiking - Boot 2 - 02:08.41 4;1493;3 - Boot 2 - 02:08.41 4;11643;SG Wiking;2025-11-29 07:41:50
428;1 02:24.05 7;1 Mühlheimer RV 02:24.05 7;1497;1 02:24.05 7;11637;Mühlheimer RV;2025-11-29 07:41:50
429;2 - Boot 3 - 02:24.44 9;2 SG Wiking - Boot 3 - 02:24.44 9;1499;2 - Boot 3 - 02:24.44 9;11643;SG Wiking;2025-11-29 07:41:50
430;3 02:26.28 8;3 Hanauer RG 02:26.28 8;1501;3 02:26.28 8;11627;Hanauer RG;2025-11-29 07:41:50
431;1 - Boot 3 - 02:09.41 10;1 Frankfurter RG Oberrad - Boot 3 - 02:09.41 10;1505;1 - Boot 3 - 02:09.41 10;11614;Frankfurter RG Oberrad;2025-11-29 07:41:50
432;2 02:11.33 12;2 RC Möve Grossauheim 02:11.33 12;1507;2 02:11.33 12;11625;RC Möve Grossauheim;2025-11-29 07:41:50
433;3 02:16.78 11;3 Frankfurter RC 02:16.78 11;1509;3 02:16.78 11;11616;Frankfurter RC;2025-11-29 07:41:50
434;1 Rgm. / Mühlheimer RV 01:37.08 3;1 Rgm. RC Möve Grossauheim/ Mühlheimer RV 01:37.08 3;1514;1 Rgm. / Mühlheimer RV 01:37.08 3;11625;RC Möve Grossauheim;2025-11-29 07:41:50
435;2 am Main-Bürgel - Boot 1 - 01:41.20 2;2 WSV Offenbach am Main-Bürgel - Boot 1 - 01:41.20 2;1516;2 am Main-Bürgel - Boot 1 - 01:41.20 2;11642;WSV Offenbach;2025-11-29 07:41:50
436;3 am Main-Bürgel - Boot 2 - 01:46.56 4;3 WSV Offenbach am Main-Bürgel - Boot 2 - 01:46.56 4;1518;3 am Main-Bürgel - Boot 2 - 01:46.56 4;11642;WSV Offenbach;2025-11-29 07:41:50
437;1 - Boot 1 - 01:38.85 4;1 RG Wetzlar - Boot 1 - 01:38.85 4;1532;1 - Boot 1 - 01:38.85 4;11647;RG Wetzlar;2025-11-29 07:41:50
438;2 - Boot 1 - 01:39.81 2;2 RG Eberbach - Boot 1 - 01:39.81 2;1534;2 - Boot 1 - 01:39.81 2;11004;RG Eberbach;2025-11-29 07:41:50
439;3 - Boot 1 - 01:43.44 3;3 Wormser RC - Boot 1 - 01:43.44 3;1536;3 - Boot 1 - 01:43.44 3;12038;Wormser RC;2025-11-29 07:41:50
440;4 - Boot 1 - 01:44.97 1;4 Hanauer RC Hassia - Boot 1 - 01:44.97 1;1538;4 - Boot 1 - 01:44.97 1;11626;Hanauer RC Hassia;2025-11-29 07:41:50
441;1 - Boot 2 - 01:36.29 5;1 Hanauer RC Hassia - Boot 2 - 01:36.29 5;1542;1 - Boot 2 - 01:36.29 5;11626;Hanauer RC Hassia;2025-11-29 07:41:50
442;2 - Boot 1 - 01:39.55 8;2 Marburger RV - Boot 1 - 01:39.55 8;1544;2 - Boot 1 - 01:39.55 8;11636;Marburger RV;2025-11-29 07:41:50
443;3 - Boot 2 - 01:43.99 7;3 RG Eberbach - Boot 2 - 01:43.99 7;1546;3 - Boot 2 - 01:43.99 7;11004;RG Eberbach;2025-11-29 07:41:50
444;1 - Boot 2 - 01:43.32 11;1 Wormser RC - Boot 2 - 01:43.32 11;1550;1 - Boot 2 - 01:43.32 11;12038;Wormser RC;2025-11-29 07:41:50
445;2 01:46.03 10;2 Frankfurter RG Oberrad 01:46.03 10;1552;2 01:46.03 10;11614;Frankfurter RG Oberrad;2025-11-29 07:41:50
446;3 - Boot 2 - 01:48.75 9;3 Marburger RV - Boot 2 - 01:48.75 9;1554;3 - Boot 2 - 01:48.75 9;11636;Marburger RV;2025-11-29 07:41:50
447;1 01:49.70 13;1 RC Aschaffenburg 01:49.70 13;1558;1 01:49.70 13;11101;RC Aschaffenburg;2025-11-29 07:41:50
448;2 01:52.23 12;2 Offenbacher RG Undine 01:52.23 12;1560;2 01:52.23 12;11641;Offenbacher RG Undine;2025-11-29 07:41:50
449;1 01:47.67 14;1 Frankfurter RC 01:47.67 14;1564;1 01:47.67 14;11616;Frankfurter RC;2025-11-29 07:41:50
450;2 - Boot 2 - 01:49.40 16;2 RG Wetzlar - Boot 2 - 01:49.40 16;1566;2 - Boot 2 - 01:49.40 16;11647;RG Wetzlar;2025-11-29 07:41:50
451;3 01:49.64 15;3 RC Möve Grossauheim 01:49.64 15;1568;3 01:49.64 15;11625;RC Möve Grossauheim;2025-11-29 07:41:50
452;1 01:32.15 4;1 Offenbacher RG Undine 01:32.15 4;1580;1 01:32.15 4;11641;Offenbacher RG Undine;2025-11-29 07:41:50
453;2 - Boot 2 - 01:34.57 5;2 Frankfurter RG Germania - Boot 2 - 01:34.57 5;1582;2 - Boot 2 - 01:34.57 5;11610;Frankfurter RG Germania;2025-11-29 07:41:50
454;3 - Boot 1 - 01:39.48 1;3 Frankfurter RG Germania - Boot 1 - 01:39.48 1;1584;3 - Boot 1 - 01:39.48 1;11610;Frankfurter RG Germania;2025-11-29 07:41:50
455;4 01:46.61 2;4 SG Wiking 01:46.61 2;1586;4 01:46.61 2;11643;SG Wiking;2025-11-29 07:41:50
456;1 01:39.27 7;1 Frankfurter RG Oberrad 01:39.27 7;1590;1 01:39.27 7;11614;Frankfurter RG Oberrad;2025-11-29 07:41:50
457;2 - Boot 1 - 01:40.80 6;2 Hanauer RG - Boot 1 - 01:40.80 6;1592;2 - Boot 1 - 01:40.80 6;11627;Hanauer RG;2025-11-29 07:41:50
458;3 - Boot 2 - 01:43.84 8;3 Hanauer RG - Boot 2 - 01:43.84 8;1594;3 - Boot 2 - 01:43.84 8;11627;Hanauer RG;2025-11-29 07:41:50
459;1 01:41.47 2;1 Frankfurter RG Borussia 01:41.47 2;1601;1 01:41.47 2;11607;Frankfurter RG Borussia;2025-11-29 07:41:50
460;2 01:42.90 1;2 Gießener RC Hassia 01:42.90 1;1603;2 01:42.90 1;11622;Gießener RC Hassia;2025-11-29 07:41:50
461;1 01:43.89 4;1 Marburger RV 01:43.89 4;1607;1 01:43.89 4;11636;Marburger RV;2025-11-29 07:41:50
462;2 01:45.30 5;2 RV Hellas Offenbach 01:45.30 5;1609;2 01:45.30 5;11638;RV Hellas Offenbach;2025-11-29 07:41:50
463;1 01:41.92 6;1 RC Möve Grossauheim 01:41.92 6;1613;1 01:41.92 6;11625;RC Möve Grossauheim;2025-11-29 07:41:50
464;2 01:43.31 3;2 Wormser RC 01:43.31 3;1615;2 01:43.31 3;12038;Wormser RC;2025-11-29 07:41:50
465;1 01:49.98 2;1 RC Aschaffenburg 01:49.98 2;1620;1 01:49.98 2;11101;RC Aschaffenburg;2025-11-29 07:41:50
466;2 01:57.47 1;2 WSV Hellas Gießen 01:57.47 1;1622;2 01:57.47 1;11623;WSV Hellas Gießen;2025-11-29 07:41:50
467;1 01:57.31 5;1 Frankfurter RG Oberrad 01:57.31 5;1626;1 01:57.31 5;11614;Frankfurter RG Oberrad;2025-11-29 07:41:50
468;2 02:08.47 3;2 Wormser RC 02:08.47 3;1628;2 02:08.47 3;12038;Wormser RC;2025-11-29 07:41:50
469;1 01:22.65 2;1 Frankfurter RG Germania 01:22.65 2;1640;1 01:22.65 2;11610;Frankfurter RG Germania;2025-11-29 07:41:50
470;2 01:24.26 1;2 RG Eberbach 01:24.26 1;1642;2 01:24.26 1;11004;RG Eberbach;2025-11-29 07:41:50
471;3 Rgm. / Mühlheimer RV 01:37.10 3;3 Rgm. RC Möve Grossauheim/ Mühlheimer RV 01:37.10 3;1644;3 Rgm. / Mühlheimer RV 01:37.10 3;11625;RC Möve Grossauheim;2025-11-29 07:41:50
472;1 Rgm. Marburger RV/ / RG Wetzlar 01:26.69 4;1 Rgm. Marburger RV/ Gießener RC Hassia/ RG Wetzlar 01:26.69 4;1649;1 Rgm. Marburger RV/ / RG Wetzlar 01:26.69 4;11622;Gießener RC Hassia;2025-11-29 07:41:50
473;2 Rgm. WSV Offenbach am Main-Bürgel/ 01:29.51 5;2 Rgm. WSV Offenbach am Main-Bürgel/ Nassovia Höchst 01:29.51 5;1652;2 Rgm. WSV Offenbach am Main-Bürgel/ 01:29.51 5;11612;Nassovia Höchst;2025-11-29 07:41:50
474;1 - Boot 1 - 01:47.56 2;1 RC Möve Grossauheim - Boot 1 - 01:47.56 2;1658;1 - Boot 1 - 01:47.56 2;11625;RC Möve Grossauheim;2025-11-29 07:41:50
475;2 - Boot 1 - 01:54.21 1;2 SG Wiking - Boot 1 - 01:54.21 1;1660;2 - Boot 1 - 01:54.21 1;11643;SG Wiking;2025-11-29 07:41:50
476;3 02:00.12 3;3 RC Karlstadt 02:00.12 3;1662;3 02:00.12 3;11107;RC Karlstadt;2025-11-29 07:41:50
477;1 - Boot 2 - 01:54.21 4;1 RC Möve Grossauheim - Boot 2 - 01:54.21 4;1666;1 - Boot 2 - 01:54.21 4;11625;RC Möve Grossauheim;2025-11-29 07:41:50
478;2 - Boot 2 - 01:55.58 5;2 SG Wiking - Boot 2 - 01:55.58 5;1668;2 - Boot 2 - 01:55.58 5;11643;SG Wiking;2025-11-29 07:41:50
479;3 - Boot 3 - 02:06.55 7;3 SG Wiking - Boot 3 - 02:06.55 7;1670;3 - Boot 3 - 02:06.55 7;11643;SG Wiking;2025-11-29 07:41:50
480;1 am Main-Bürgel 01:54.07 8;1 WSV Offenbach am Main-Bürgel 01:54.07 8;1674;1 am Main-Bürgel 01:54.07 8;11642;WSV Offenbach;2025-11-29 07:41:50
481;2 - Boot 2 - 02:07.59 10;2 Hanauer RG - Boot 2 - 02:07.59 10;1676;2 - Boot 2 - 02:07.59 10;11627;Hanauer RG;2025-11-29 07:41:50
482;3 02:17.22 11;3 Frankfurter Ruder- und Kanusport Verein 02:17.22 11;1678;3 02:17.22 11;11620;Frankfurter Ruder- und Kanusport Verein;2025-11-29 07:41:50
483;1 01:48.82 1;1 SRR Schillerschule Frankfurt 01:48.82 1;1686;1 01:48.82 1;15626;SRR Schillerschule Frankfurt;2025-11-29 07:41:50
484;2 01:55.27 3;2 Frankfurter RC 01:55.27 3;1688;2 01:55.27 3;11616;Frankfurter RC;2025-11-29 07:41:50
